Name [Unit], Value, Threshold, Evaluation Result
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf28 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf29 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf30 [mm], 0.43, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf31 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf32 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf33 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf34 [mm], 0.45, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf35 [mm], 0.3, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf36 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf37 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf38 [mm], 0.44, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf39 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf40 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf41 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf42 [mm], 0.43, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf43 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf44 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf45 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf46 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf47 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf48 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf49 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf50 [mm], 0.4, 1, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMaxA [mm], 0.27, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMaxB [mm], 0.28, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMeanA [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMeanB [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf11 [mm], 0.18, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf12 [mm], 0.21, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf13 [mm], 0.14, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf14 [mm], 0.12, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf15 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf16 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf17 [mm], 0.2, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf18 [mm], 0.2, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf19 [mm], 0.21, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf20 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf21 [mm], 0.14, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf22 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf23 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf24 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf25 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf26 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf27 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf28 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf29 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf30 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf31 [mm], 0.27, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf32 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf33 [mm], 0.27, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf34 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf35 [mm], 0.17, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf36 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf37 [mm], 0.19, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf38 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf39 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf40 [mm], 0.27, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf41 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf42 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf43 [mm], 0.04, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf44 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf45 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf46 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf47 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf48 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf49 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesA/MLCBacklashLeaf50 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf11 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf12 [mm], 0.2, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf13 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf14 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf15 [mm], 0.21, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf16 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf17 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf18 [mm], 0.28, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf19 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf20 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf21 [mm], 0.28, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf22 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf23 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf24 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf25 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf26 [mm], 0.28, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf27 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf28 [mm], 0.19, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf29 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf30 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf31 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf32 [mm], 0.21, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf33 [mm], 0.17, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf34 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf35 [mm], 0.13, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf36 [mm], 0.02, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf37 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf38 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf39 [mm], 0.19, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf40 [mm], 0.25, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf41 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf42 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf43 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf44 [mm], 0.24, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf45 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf46 [mm], 0.23, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf47 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf48 [mm], 0.22, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf49 [mm], 0.26, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashLeavesB/MLCBacklashLeaf50 [mm], 0.22, 0.5, Pass
CollimationGroup/JawsGroup/JawX1 [mm], 0.17, 1, Pass
CollimationGroup/JawsGroup/JawX2 [mm], -0.72, 1, Pass
CollimationGroup/JawsGroup/JawY1 [mm], -0.97, 2, Pass
CollimationGroup/JawsGroup/JawY2 [mm], 0.76, 2, Pass
CollimationGroup/JawsParallelismGroup/JawParallelismX1 [°], 0.03, 0.4, Pass
CollimationGroup/JawsParallelismGroup/JawParallelismX2 [°], 0.01, 0.4, Pass
CollimationGroup/JawsParallelismGroup/JawParallelismY1 [°], 0.02, 0.4, Pass
CollimationGroup/JawsParallelismGroup/JawParallelismY2 [°], 0.05, 0.4, Pass
CollimationGroup/CollimationRotationOffset [°], -0.17, 0.5, Pass
GantryGroup/GantryAbsolute [°], -0.06, 0.3, Pass
GantryGroup/GantryRelative [°], 0.17, 0.3, Pass
EnhancedCouchGroup/CouchMaxPositionError [mm], 0.36, 0.7, Pass
EnhancedCouchGroup/CouchLat [mm], 0.11, 0.7, Pass
EnhancedCouchGroup/CouchLng [mm], 0.29, 0.7, Pass
EnhancedCouchGroup/CouchVrt [mm], 0.17, 0.7, Pass
EnhancedCouchGroup/CouchRtnFine [°], 0.03, 0.3, Pass
EnhancedCouchGroup/CouchRtnLarge [°], 0.11, 0.4, Pass
EnhancedCouchGroup/RotationInducedCouchShiftFullRange [mm], 0.59, 0.75, Pass
